From,To,Attention,Hop,SignalingPath,SpNotation,individualID
58,467,0.01524841,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,500,0.010724461,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1030,0.013806666,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1033,0.0077119395,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1318,0.013977214,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1347,0.015872862,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1348,0.018306386,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1456,0.014085448,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1457,0.011860262,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1458,0.012575988,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1460,0.007657118,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1461,0.0073218043,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1462,0.012509286,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1496,0.012851841,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1497,0.011546217,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1498,0.013110079,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1499,0.024949342,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1500,0.011060208,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1501,0.009543627,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1502,0.013918164,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1503,0.017237417,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1504,0.0070588826,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1505,0.016508654,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1592,0.0026784237,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
58,1697,0.010858193,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
60,61,0.22025985,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
61,60,0.0046114475,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
61,1943,0.03196534,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
61,1944,0.032740086,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
61,1945,0.030672751,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
65,1318,0.016977947,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
65,1456,0.01836845,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
65,1457,0.013665989,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
65,1458,0.013893971,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
65,1460,0.006493305,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
65,1461,0.006178002,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
65,1462,0.013609273,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
65,1697,0.010913699,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
67,1318,0.016990177,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
67,1456,0.018381104,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
67,1457,0.013675844,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
67,1458,0.013904419,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
67,1460,0.006498892,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
67,1461,0.006183339,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
67,1462,0.0136195775,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
67,1697,0.010922195,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
68,1318,0.015174898,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
68,1456,0.016139943,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
68,1457,0.0119513115,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
68,1458,0.012582427,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
68,1460,0.007743571,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R8626395
