From,To,Attention,Hop,SignalingPath,SpNotation,individualID
58,467,0.016691126,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,500,0.0097839255,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1030,0.01563889,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1033,0.004827065,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1318,0.013994399,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1347,0.018030073,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1348,0.019683015,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1456,0.015440067,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1457,0.012676902,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1458,0.012653919,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1460,0.008615144,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1461,0.0072988905,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1462,0.011390376,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1496,0.010404195,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1497,0.010601608,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1498,0.012140902,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1499,0.030213369,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1500,0.008681554,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1501,0.009240495,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1502,0.01266472,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1503,0.021126915,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1504,0.0049021095,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1505,0.019431897,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1592,0.0029608149,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
58,1697,0.00777153,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
60,61,0.23856966,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
61,60,0.002685704,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
61,1943,0.031576894,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
61,1944,0.031919286,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
61,1945,0.029175628,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
65,1318,0.017005827,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
65,1456,0.018841261,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
65,1457,0.015455074,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
65,1458,0.015359528,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
65,1460,0.009033825,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
65,1461,0.0072394153,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
65,1462,0.013783932,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
65,1697,0.007997824,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
67,1318,0.017011829,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
67,1456,0.018848976,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
67,1457,0.01546162,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
67,1458,0.015364816,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
67,1460,0.009035042,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
67,1461,0.0072399043,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
67,1462,0.013787834,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
67,1697,0.007999113,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
68,1318,0.01479283,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
68,1456,0.016251355,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
68,1457,0.013236499,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R4917253
